tweet_id,sentiment,tweet,tokenized,compound,negative,neutral,positive
1956977084,happiness,mmm much better day... so far! it's still quite early. last day of #uds,mmm much better day so far it s still quit earli last day of ud,0.4404,0.0,0.818,0.182
1956983874,happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",so great to see oin amp cynthia so happi dinner wa great cute littl place too bad oin got sick afterward,0.7172,0.197,0.463,0.341
1956985535,happiness,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",havingmysay dude that is my favorit sandwich place ever ummm did you take pictur,0.0,0.0,1.0,0.0
1956996765,happiness,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",need to pack for cali cali cannot waittt think a glass of wine is in order to celebr my weekend vaca still work morrow tho,0.0,0.0,1.0,0.0
1957017522,happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",took a math test today the day befor the test the teacher say bring your calcul luke wa confid teacher decid no calc,-0.296,0.095,0.905,0.0
1957017595,happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",omg the concert wa awesom madrig gave me chill on almost everi piec brook also call up alumni but i didnt get to go,0.0,0.0,1.0,0.0
1957020385,happiness,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",i can t do minut of treadmil but done minut for today alreadi gonna do minut more,0.0,0.0,1.0,0.0
1957020702,happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,chillin with the roomi can t wait for the zombi clwn cr it gonna be week,0.0,0.0,1.0,0.0
1957033043,happiness,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,vinylvickxen i kno i doooo yall partyin with out me,0.0,0.0,1.0,0.0
1957035564,happiness,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,i spill my beer all over my leg wast half my beer home now i met a cute girl good convers,0.7096,0.0,0.731,0.269
1957045692,happiness,english class! working on interactive orals,english class work on interact oral,0.0,0.0,1.0,0.0
1957055981,happiness,FB is boring   and i wanna sing RIGHT NOW..! *-*,fb is bore and i wanna sing right now,-0.25,0.222,0.778,0.0
1957058504,happiness,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!,celldwel must have new music i won t sleep until you give us chapter i might die first though hurri,-0.0516,0.173,0.664,0.164
1957075268,happiness,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol,pandamayhem noooooooooooo i just look at a lot of pictur lol lol,0.6808,0.0,0.588,0.412
1957086137,happiness,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!",ddlovato demi just say hi to me and it s enough just replay to me pleas love you so much,0.6369,0.0,0.811,0.189
1957088179,happiness,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot",mrssunshin big now vanessa is go to be in septemb it go by so fast it hard cuz im workin so much i miss out on alot,-0.3699,0.129,0.871,0.0
1957089465,happiness,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam",good lord just seen the agenc work for our upcom open day money for jam,0.4404,0.0,0.828,0.172
1957093069,happiness,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.,my littl foster kitten are get big chubba and winston are go b miss when they get amaz home,-0.1531,0.086,0.914,0.0
1957101953,happiness,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year,get readi for school second math test today also it my last day of rd year next week i will offici be in th year,0.0,0.0,1.0,0.0
1957103842,happiness,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride",friday yay and a bonu don t have to drive to wale tonight athough will miss kitten cuddl and go for a ride,0.4215,0.07,0.783,0.148
1957112843,happiness,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me",ok other then my shoe the club is cool it fun and it poppin except the ppl tryna danc wit me,0.7783,0.0,0.698,0.302
1957113346,happiness,"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it",o hemmi lol hi emmi latin would help me studi for the aptitud test to get into grad school that whi i wanna take it,0.6705,0.0,0.792,0.208
1957123048,happiness,@UniqueMakis Awesome! Wish I could fly out to see her,uniquemaki awesom wish i could fli out to see her,0.4019,0.0,0.748,0.252
1957128448,happiness,someone take me to LA  I NEED TO SEE THE LEMON TREE,someon take me to la i need to see the lemon tree,0.0,0.0,1.0,0.0
1957130105,happiness,"@hiracdelest who's the one always working now?  oh yeah, still me.",hiracdelest who s the one alway work now oh yeah still me,0.296,0.0,0.82,0.18
1957131642,happiness,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.,that wa an interest show to say the least recap tomorrow first i must sleep work in am,0.4588,0.0,0.842,0.158
1957149170,happiness,@Sashairene hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that,sashairen hahaha oh man pleas come to pomona i would love to see you everyday instead of like onc a year if that,0.8834,0.0,0.636,0.364
1957177248,happiness,"@wedplanworkshop . Flights already booked, plus its GGD2 1st birthday. Can't miss that ! especially as we missed GGD1",wedplanworkshop flight alreadi book plu it ggd st birthday can t miss that especi as we miss ggd,-0.296,0.176,0.824,0.0
1957191024,happiness,Are u missing ur frnds ? Hear to &quot;Manasellaam &quot; From Kulir100 Degree movie. Its amazing !!!  Nanbargale - Miss u guys !!!,are u miss ur frnd hear to quot manasellaam quot from kulir degre movi it amaz nanbargal miss u guy,-0.296,0.167,0.833,0.0
1957194329,happiness,@cha_rade oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL,cha rade oh no the economi gotcha sorri but so happi that you got anoth one in la enjoy socal ahahaay lol,0.8126,0.056,0.664,0.28
1957195455,happiness,so carlie came over and she fell asleep on me,so carli came over and she fell asleep on me,0.0,0.0,1.0,0.0
1957199368,happiness,"To all my friends: Im deeply sorry i'm moving, i will miss u all so very very much!",to all my friend im deepli sorri i m move i will miss u all so veri veri much,0.3818,0.09,0.73,0.18
1957203110,happiness,@allyycase suuure,allyycas suuur,0.0,0.0,1.0,0.0
