id,sentiment,tweet,snowball_stemmed_tweets,preprocessed_tweets,sent_negative,sent_neutral,sent_positive,snowball_negative,snowball_neutral,snowball_pos
1956967666,sadness,Layin n bed with a headache  ughhhh...waitin on your call...,layin n bed headach ughhhhwaitin call,layin n bed headache ughhhhwaitin call,0.0,1.0,0.0,0.0,1.0,0.0
1956967696,sadness,Funeral ceremony...gloomy friday...,funer ceremonygloomi friday,funeral ceremonygloomy friday,0.556,0.444,0.0,0.0,1.0,0.0
1956968487,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",sleep im think old friend want hes marri damn amp want 2 scandal,sleep im thinking old friend want hes married damn amp wants 2 scandalous,0.328,0.43,0.242,0.304,0.38,0.315
1956969035,sadness,@charviray Charlene my love. I miss you,mentionher charlen love miss,mentionhere charlene love miss,0.205,0.256,0.538,0.205,0.256,0.538
1956969172,sadness,@kelcouch I'm sorry  at least it's Friday?,mentionher im sorri least friday,mentionhere im sorry least friday,0.245,0.755,0.0,0.0,1.0,0.0
1956970047,sadness,Ugh! I have to beat this stupid song to get to the next  rude!,ugh beat stupid song get next rude,ugh beat stupid song get next rude,0.697,0.303,0.0,0.697,0.303,0.0
1956970424,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,mentionher u watch hill london u realis tourtur week week late watch itonlinelol,mentionhere u watch hills london u realise tourture weeks weeks late watch itonlinelol,0.0,1.0,0.0,0.0,1.0,0.0
1956971077,sadness,The storm is here and the electricity is gone,storm electr gone,storm electricity gone,0.0,1.0,0.0,0.0,1.0,0.0
1956971206,sadness,So sleepy again and it's not even that late. I fail once again.,sleepi even late fail,sleepy even late fail,0.538,0.462,0.0,0.538,0.462,0.0
1956971586,sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,convinc alway want signal give offdamn think lost anoth friend,convinced always wanted signals give offdamn think lost another friend,0.151,0.461,0.388,0.167,0.507,0.326
1956972359,sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,tire think im definit go get ear infect go bed quotearlyquot,tired think im definitely going get ear infection going bed quotearlyquot,0.199,0.616,0.185,0.0,1.0,0.0
1956972557,sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",mentionher im sorri peopl rude isaac get manner know better lewd,mentionhere im sorry people rude isaac get manners know better lewd,0.283,0.526,0.191,0.201,0.604,0.195
1956973598,sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,fudg bsd whole paper tire ugh hate school time sleep,fudge bsd whole paper tired ugh hate school time sleep,0.573,0.427,0.0,0.448,0.552,0.0
1956976312,sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,mentionher yeah feel funni caus havent slept enough woke mum caus sing shes impress,mentionhere yeah feel funny cause havent slept enough woke mum cause singing shes impressed,0.0,0.573,0.427,0.0,0.702,0.298
1956977084,happiness,mmm much better day... so far! it's still quite early. last day of #uds,mmm much better day far still quit earli last day ud,mmm much better day far still quite early last day uds,0.0,0.775,0.225,0.0,0.775,0.225
1956979150,sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,im problem photo twitter amfcant see face,im problem photo twitter amfcant see face,0.31,0.69,0.0,0.31,0.69,0.0
1956982383,sadness,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",mentionher aww onward upward yay still sad leav bet,mentionhere aww onward upwards yay still sad leave bet,0.314,0.438,0.248,0.23,0.519,0.252
1956982576,sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,diesel yari 70mpg sad avail us thatd awesom,diesel yaris 70mpg sad available us thatd awesome,0.235,0.455,0.311,0.307,0.693,0.0
1956982605,sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,want buy great album unfortun dont hav enuff fund quotlong time noisyquot,want buy great album unfortunately dont hav enuff funds quotlong time noisyquot,0.143,0.536,0.321,0.0,0.649,0.351
1956983160,sadness,@Pokinatcha  in all honesty...pain   blech.,mentionher honestypain blech,mentionhere honestypain blech,0.0,1.0,0.0,0.0,1.0,0.0
1956983171,sadness,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,ok passeng one aliv theyr dead dont know til end cri,ok  passengers  one alive  theyre dead  dont know til end  cry ,0.385,0.365,0.25,0.277,0.581,0.142
1956983690,sadness,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,mentionher mentionher fell asleep beach didnt put enough sunscreen lol,mentionhere mentionhere fell asleep beach didnt put enough sunscreen lol,0.0,0.763,0.237,0.0,0.763,0.237
1956983874,happiness,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",great see oin amp cynthia happi dinner great cute littl place bad oin got sick afterward,great see oin amp cynthia happy dinner great cute little place bad oin got sick afterwards,0.208,0.318,0.474,0.234,0.379,0.386
